id,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46
1,1,1,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,150,0,165,0,165,129,54,48,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,6,51,168
2,0,1,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,54,90,87,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,6,21,219,459
3,0,1,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,168,69,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,18,27
4,0,1,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,63,0,114,111,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,9,9
5,1,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,243
6,0,1,high,42,129,129,111,0,0,0,0,0,0,0,0,0,0,33,174,78,0,0,159,174,108,189,0,0,0,141,0,0,0,105,0,9,159,0,0,0,0,0,345,438,1323,2250
7,1,1,high,0,0,0,141,0,12,0,0,0,0,0,0,0,0,0,156,0,150,0,135,150,12,54,0,0,0,84,0,0,0,0,0,0,135,0,0,0,0,0,0,3,333,1188
8,1,1,mid,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,123,168,102,99,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,48,216
9,0,1,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,171,51,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,3,39,486,1776
10,1,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,54
11,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,high,0,87,126,0,0,0,0,0,0,0,0,0,0,0,12,180,0,0,0,162,123,102,141,0,0,0,105,0,0,0,0,0,0,174,0,0,0,0,0,0,0,195,666
13,1,1,low,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,42,204
14,0,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
