id,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46
1,1,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,60
2,0,1,mid,0,48,78,0,0,0,0,0,0,0,0,0,0,0,63,30,0,0,0,135,24,123,180,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,33,3,69,330,939
3,0,0,mid,3,12,138,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,21,0,117,114,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,243,351
4,0,1,high,0,0,12,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,15,21,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,6,24
5,0,1,low,42,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
6,0,0,high,42,81,132,0,183,0,0,0,45,0,0,0,0,0,0,177,0,0,0,165,159,63,81,0,0,0,45,0,0,0,0,0,0,144,0,0,0,0,0,6,21,621,1824
7,0,1,mid,0,3,66,0,30,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,135,147,0,0,0,39,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3
8,0,1,low,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,15,0,45,42,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,30,45,846
9,0,1,low,0,33,63,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,129,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,126,276
10,0,1,mid,0,18,30,165,0,0,0,0,0,0,0,0,0,0,90,114,0,126,0,135,120,102,147,0,0,0,39,0,156,0,0,0,0,123,0,0,0,0,0,0,9,195,453
11,0,1,high,0,48,183,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,624,1551,3252
12,0,1,mid,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,171,171,78,78,0,0,0,0,0,0,0,0,0,207,123,0,168,0,0,0,222,342,1176,1989
13,1,1,mid,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,21,0,96,0,120,132,42,39,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,3,6,48,93
14,1,1,high,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,114,111,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,81,189
