id,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46
137259,0,1,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,450,0,495,0,495,387,162,144,0,0,0,0,0,0,0,0,0,0,441,0,0,0,0,0,0,18,153,504
98870,1,1,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,162,270,261,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0,0,18,63,657,1377
128313,0,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,0,0,0,504,207,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,0,0,0,0,0,54,81
138249,1,1,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,189,0,342,333,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,27,27
150656,1,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,729
90820,0,0,mid,126,387,387,333,0,0,0,0,0,0,0,0,0,0,99,522,234,0,0,477,522,324,567,0,0,0,423,0,0,0,315,0,27,477,0,0,0,0,0,1035,1314,3969,6750
117264,1,1,mid,0,0,0,423,0,36,0,0,0,0,0,0,0,0,0,468,0,450,0,405,450,36,162,0,0,0,252,0,0,0,0,0,0,405,0,0,0,0,0,0,9,999,3564
50522,0,1,high,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,27,0,18,0,369,504,306,297,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,144,648
155368,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,0,0,0,513,153,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,0,0,9,117,1458,5328
167355,0,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,162
129377,0,1,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144219,0,1,low,0,261,378,0,0,0,0,0,0,0,0,0,0,0,36,540,0,0,0,486,369,306,423,0,0,0,315,0,0,0,0,0,0,522,0,0,0,0,0,0,0,585,1998
54870,1,1,high,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,117,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,126,612
1574,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18
130514,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,63,117,117,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,270,396,576,936
138901,0,0,low,72,72,117,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,828,2223
94991,0,1,high,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,36
18542,0,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,378,0,0,0,0,0,0,0,0,0,0,54,0,99,0,0,0,0,0,36,90
28229,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,387,0,306,306,216,252,0,0,0,0,0,0,0,0,0,0,387,0,0,0,0,0,0,18,252,783
20478,0,0,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,396,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,126
157809,1,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,144
82816,1,1,mid,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,153,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,72
38541,0,0,mid,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18
170602,0,0,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,180,0,0,0,216,0,306,297,0,0,0,0,0,0,0,0,0,162,108,0,0,0,0,0,0,27,243,828
115153,1,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,81,540,1332
150062,1,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,414,1332
38974,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,81,351,405,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,756
97605,0,1,high,27,27,27,504,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,387,378,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,9,27,198,1602
128186,1,1,mid,18,351,504,279,0,0,36,0,0,0,0,0,0,0,54,531,171,549,0,495,567,162,198,0,0,0,153,0,0,0,0,0,99,477,0,0,0,0,0,36,216,1170,4743
81977,1,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,297,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,90
99593,1,1,mid,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,387,0,0,0,432,90,288,288,0,0,0,0,0,0,0,0,0,0,486,0,0,0,0,0,0,0,684,1890
155707,1,1,low,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,126,0,72,0,0,63,54,54,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,558,1728,1710,6849
76368,0,1,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477,0,162,0,99,0,72,72,0,0,0,0,0,0,0,0,0,0,441,0,0,0,0,0,27,72,819,2196
