id,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,label
81167,0,1,mid,0,0,0,153,0,0,78,0,0,0,0,0,0,0,9,129,0,24,0,162,174,39,33,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,624,1539,0
50408,1,1,mid,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,24,0,69,66,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,186,366,0
9114,0,0,high,36,36,120,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,156,162,15,15,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,24,48,1
53228,1,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0
56280,1,1,mid,9,51,294,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,129,0,90,183,0,0,0,102,0,0,72,0,111,0,141,0,0,0,0,0,0,0,42,141,0
156658,0,0,low,0,6,69,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,36,0,51,48,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,69,3,618,0
171180,0,1,high,0,57,132,0,42,0,0,0,0,0,0,0,0,0,0,39,0,0,0,33,33,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,42,36,138,0
114975,0,0,low,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107311,0,1,high,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,15,57,1047,3357,0
18558,0,1,high,96,195,258,90,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,186,159,0,105,0,0,0,180,0,0,0,0,0,0,165,0,0,0,0,0,0,18,402,945,1
99954,1,1,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,48,0,0,0,72,129,84,93,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,195,405,774,1830,0
108696,0,1,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,9,15,0
130349,1,1,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,12,24,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
90731,0,1,high,0,0,0,195,0,0,0,0,0,0,0,0,0,0,24,108,0,45,0,186,90,45,78,0,0,0,105,0,0,0,0,0,0,168,0,0,0,0,0,6,12,135,744,0
95228,1,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0
23294,0,0,mid,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,102,1
139198,1,1,high,3,3,3,120,0,0,0,0,0,0,0,0,0,0,24,159,0,9,0,174,108,114,141,0,0,0,99,0,0,0,0,0,6,147,0,0,0,0,0,0,0,459,1209,0
29345,0,1,high,33,33,33,204,0,0,0,0,0,0,0,0,0,0,195,0,0,141,0,144,144,222,105,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,6,6,1
55443,1,1,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,114,111,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,48,129,0
138732,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55811,0,1,high,0,0,9,210,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,189,114,18,63,0,0,0,105,0,0,0,0,0,0,168,0,0,0,0,0,18,99,504,1416,0
163602,1,1,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,39,39,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,3,12,318,1143,0
67172,1,1,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,63,0,36,0,0,36,21,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,3,90,330,0
116625,1,1,low,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0
28619,0,0,mid,24,114,165,75,114,0,0,0,0,0,0,0,0,0,12,102,0,0,0,129,0,75,108,0,0,0,0,0,0,0,0,69,0,21,0,0,0,0,0,0,0,633,1062,1
91386,0,0,low,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71678,1,1,high,0,0,63,81,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,174,162,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,15,63,852,2100,0
99898,0,1,mid,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,138,153,114,111,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,204,570,0
78140,1,1,mid,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,18,0,39,39,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,15,42,0
49158,0,1,mid,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,111,99,78,75,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,12,12,0
168108,0,1,mid,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,30,36,39,39,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,63,180,513,1359,0
98423,0,1,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,141,0,105,102,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,6,375,1032,0
142729,1,1,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,6,18,0
59687,1,1,high,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,51,0,0,0,33,0,24,24,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,6,294,774,0
66211,0,1,low,0,36,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,39,90,0
54633,0,0,high,0,0,0,9,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,12,18,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36,60,228,0
111313,0,1,mid,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,36,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,300,501,1101,0
57184,0,1,low,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,66,0
133403,1,1,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,123,0
127154,1,1,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,84,81,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,9,48,153,0
160101,1,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,93,90,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,45,117,0
83727,0,0,mid,21,75,114,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,177,123,27,27,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,372,669,0
98440,0,1,high,0,120,120,126,0,0,0,0,0,0,0,0,0,0,0,171,0,9,0,147,141,84,105,0,0,0,51,0,0,0,0,0,0,153,0,0,0,0,0,54,147,222,900,0
24925,0,1,high,42,42,111,57,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,165,156,114,111,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,12,42,153,621,1
11252,0,0,high,9,78,99,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,96,63,102,120,0,0,0,42,0,0,0,0,0,0,51,0,0,0,0,0,0,0,24,75,1
56645,0,1,high,6,57,81,0,126,0,0,0,0,0,0,0,0,0,0,108,0,0,0,60,138,102,99,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,27,75,345,591,0
68633,0,1,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,159,0,0,0,114,0,111,99,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,78,147,0
131031,0,1,high,0,30,54,30,0,0,0,0,0,0,0,0,0,0,27,153,0,0,0,150,198,87,72,0,0,0,0,0,0,0,0,0,6,150,0,0,0,0,0,0,33,303,546,0
